StartDate;EndDate;Status;IPAddress;Progress;Duration (in seconds);Finished;RecordedDate;ResponseId;RecipientLastName;RecipientFirstName;RecipientEmail;ExternalReference;LocationLatitude;LocationLongitude;DistributionChannel;UserLanguage;Termometer_1;Termometer_2;EMS_1;EMS_2;EMS_3;EMS_4;EMS_5;Sex;age;race;hand;english;VAAST_before;IAT_before;remarks;Prolific_ID;id
30/01/19 03:46;30/01/19 04:05;0;62.235.147.8;14;1135;0;6/02/19 04:05;R_1GVUgQCHGjtU9qj;;;;;;;anonymous;EN;;;;;;;;;;;;;;;;;
20/02/19 02:58;20/02/19 02:59;0;83.134.104.201;100;55;1;20/02/19 02:59;R_2PqhZoAJcmFuqSg;;;;;50.8450927734375;4.3556976318359375;anonymous;EN;1;9;1;1;1;1;1;1;n;1;1;1;5;5;;n;k16dk23103c082e
